Burn,Date,Bird_Point,Veg_Plot,Grass_Percent,Woody_Percent,Forb_Percent,Bare_Percent,VOR_N,VOR_W,VOR_S,VOR_E,VOR_Avg,LiveHt_NW,LiveHt_NE,LiveHt_SW,LiveHt_SE,LiveHt_AVG,LitterDep_NW,LitterDep_NE,LitterDep_SW,LitterDep_SE,LitterDep_AVG,Trees,Shrubs
N,2014,63,3,75,0,25,0,10,15,2.5,2.5,7.5,17.3,21.5,21.1,19.8,19.925,2.7,5.3,5,1.3,3.575,0,0
N,2015,63,3,95,0,5,0,10,10,12.5,7.5,10,21.3,38.6,31,32,30.725,1.8,4.3,1,0.4,1.875,0,2
N,2014,73,3,95,0,5,0,17.5,10,25,15,16.875,33,15.7,50.9,45.3,36.225,2.3,1.8,3.2,0.2,1.875,0,31
N,2015,73,3,95,0,5,0,37.5,30,40,35,35.625,62,40.3,30,48,45.075,3.2,1.5,3.2,4.8,3.175,0,11
N,2014,75,3,70,0,30,0,20,22.5,30,35,26.875,25.6,23.2,23.8,15.9,22.125,1.5,1,0.5,1,1,1,31
N,2015,75,3,60,0,40,0,15,20,30,25,22.5,46.6,19.1,38,44,36.925,3.5,2.8,1.5,1.8,2.4,1,11
N,2014,77,3,95,0,5,0,20,10,17.5,17.5,16.25,34.3,22.3,41.2,40.3,34.525,1,1.8,3.6,1.6,2,0,26
N,2015,77,3,90,0,10,0,20,25,20,27.5,23.125,34.4,33,34,36.2,34.4,0.5,5,2.1,1.1,2.175,0,12
N,2014,87,3,100,0,0,0,22.5,22.5,22.5,32.5,25,24.2,37.6,38.1,42.3,35.55,1,1,0.3,0.6,0.725,4,6
N,2015,87,3,95,0,5,0,30,25,17.5,35,26.875,30.5,39.9,41.5,38.1,37.5,2.5,4.8,10,8,6.325,11,6
N,2014,89,3,90,0,10,5,32.5,22.5,47.5,40,35.625,48.2,48.5,66.8,71.3,58.7,1.2,0.5,1.5,3,1.55,1,0
N,2015,89,3,95,0,5,0,55,27.5,35,30,36.875,56,53.2,60.5,67,59.175,13,3,0,0.2,4.05,1,0
N,2014,93,3,100,0,0,0,37.5,32.5,45,45,40,38.8,48.7,61.2,66.3,53.75,5.8,4.2,4.1,4.8,4.725,0,0
N,2015,93,3,95,0,5,0,30,47.5,40,45,40.625,41.5,64.3,53.2,53.7,53.175,0,0,7,4,2.75,0,0
N,2014,95,3,80,0,20,20,2.5,2.5,25,12.5,10.625,12.5,23.7,45,42.3,30.875,2,0,2,1.5,1.375,0,31
N,2015,95,3,80,5,15,0,30,20,17.5,25,23.125,21,29.4,38.2,18,26.65,0,1,3,0.5,1.125,0,13
N,2014,98,3,80,15,5,0,17.5,22.5,10,12.5,15.625,35.5,27.6,39.4,38.7,35.3,2,3,1.8,3.5,2.575,31,31
N,2015,98,3,80,10,10,0,17.5,35,30,10,23.125,42.3,40.5,34,33,37.45,1.5,4.5,1.8,7,3.7,13,25
N,2014,108,3,60,15,25,5,17.5,45,75,40,44.375,46.5,47.3,62.5,58.6,53.725,3.1,2.3,1.1,0.5,1.75,0,31
N,2015,108,3,60,10,30,0,25,47.5,35,45,38.125,60,50.6,40.9,49.2,50.175,2.7,3.2,3.1,0.9,2.475,2,36
N,2014,110,3,90,0,10,0,7.5,5,10,7.5,7.5,10.6,35.6,21.9,13.2,20.325,0.5,1.8,1.2,2.1,1.4,3,25
N,2015,110,3,95,0,5,0,10,15,12.5,10,11.875,40.7,35.3,20.8,19.3,29.025,10.8,5.1,5.3,0.5,5.425,4,0
N,2014,111,3,40,45,15,0,42.5,45,47.5,55,47.5,30.3,53.2,40,51.2,43.675,1,1.3,1.6,0.5,1.1,3,31
N,2015,112,3,80,10,10,0,30,30,45,50,38.75,59,48.5,46.5,34.2,47.05,2,3.8,2,1.8,2.4,7,45
N,2014,120,3,60,0,40,0,7.5,25,5,12.5,12.5,17.8,26.8,22.2,13.2,20,0.8,1.3,1.4,1.8,1.325,1,0
N,2015,120,3,65,0,35,0,15,20,20,22.5,19.375,29,33.2,29.4,29,30.15,1.2,1.5,3.2,0.5,1.6,1,0
N,2014,130,3,90,0,10,0,12.5,20,25,25,20.625,28.2,13.3,34.4,35.2,27.775,0.5,2.1,2.3,1.3,1.55,3,0
N,2015,130,3,100,0,0,0,40,45,40,47.5,43.125,59,54.1,52.3,52,54.35,5.2,4.3,2.8,0.5,3.2,14,5
N,2014,132,3,20,0,80,0,2.5,2.5,2.5,12.5,5,4.1,12.4,4.2,13.2,8.475,1.8,0.5,0,0,0.575,4,0
N,2015,132,3,60,0,40,5,10,20,20,15,16.25,33.2,17.9,41.7,64.3,39.275,0,0,0,1.8,0.45,4,0
N,2014,134,3,90,0,10,0,2.5,12.5,7.5,2.5,6.25,8.2,23.4,12.4,18.9,15.725,1.5,2.6,1.6,4.8,2.625,1,1
N,2015,134,3,95,0,5,0,10,5,7.5,10,8.125,29.3,17.3,16,32,23.65,2.1,1.5,0.4,4.8,2.2,1,0
N,2014,146,3,100,0,0,0,20,10,20,25,18.75,54.5,61.3,42,46.4,51.05,0,2.1,4.8,1.5,2.1,1,0
N,2015,146,3,95,0,5,0,50,40,42.5,47.5,45,57.5,64,68.7,71,65.3,0,7.5,3.8,2.7,3.5,3,0
Y,2014,151,3,50,10,40,0,15,30,17.5,15,19.375,38.2,19.2,8.1,34.5,25,8.9,1.6,2,4.6,4.275,0,31
Y,2015,151,3,80,5,15,0,25,17.5,17.5,20,20,55.3,29.8,29.1,40.5,38.675,1.2,0.5,0,0.2,0.475,1,0
Y,2014,160,3,80,10,10,0,20,30,45,42.5,34.375,38.1,50.2,36.3,34.6,39.8,0.5,2,1.6,0.2,1.075,3,31
Y,2015,160,3,80,15,5,0,40,52.5,45,47.5,46.25,62.3,55,40.5,58.5,54.075,6.2,4,4.8,4.3,4.825,2,2
Y,2014,164,3,80,0,20,0,10,20,12.5,5,11.875,0,12.2,10.9,39.8,15.725,1.8,3,4.6,8.5,4.475,3,31
Y,2015,164,3,70,5,25,0,5,5,12.5,17.5,10,41.2,25.4,21.6,29.8,29.5,0,0,0,0,0,5,4
Y,2014,174,3,80,0,20,0,5,5,10,5,6.25,16.4,24.3,38.3,13.8,23.2,2,0.5,1.8,0.5,1.2,1,31
Y,2015,174,3,90,5,5,0,7.5,5,5,10,6.875,31.8,17.2,18.5,29.8,24.325,0,0,0,0.2,0.05,2,0
Y,2014,186,3,10,20,70,0,10,5,10,7.5,8.125,10.2,60,35.3,30.2,33.925,0.5,1.1,1.8,0.3,0.925,35,31
Y,2015,186,3,10,10,80,0,25,40,50,30,36.25,29.8,15.4,74,46.2,41.35,0.3,1.2,0.5,0.3,0.575,47,16
Y,2014,188,3,90,10,0,0,2.5,12.5,10,10,8.75,24.2,2.6,56.9,40.2,30.975,3.1,13.9,0,1.3,4.575,2,31
Y,2015,188,3,85,10,5,0,55,30,35,40,40,27.2,54.8,29,37.4,37.1,0.1,0,0,0,0.025,5,20
N,2014,196,3,30,15,55,0,10,32.5,27.5,20,22.5,36.4,16.5,55.1,33.8,35.45,1,0.5,0,1.2,0.675,7,31
N,2015,196,3,70,10,20,0,35,35,32.5,20,30.625,53,34.2,53,53.5,48.425,0.5,0.4,1.5,2,1.1,6,40
N,2014,206,3,20,0,80,0,15,20,17.5,7.5,15,35.6,4.2,10.4,13.1,15.825,0.2,1.5,1.2,1.6,1.125,4,31
N,2015,206,3,20,0,80,0,15,25,20,30,22.5,33.4,27.8,33,73,41.8,0.1,0.5,2,1.5,1.025,18,10
N,2014,208,3,60,0,40,0,17.5,12.5,12.5,15,14.375,35.8,39.6,17.2,47.1,34.925,1,1.2,1.5,0,0.925,2,2
N,2015,208,3,90,0,10,0,40,35,40,50,41.25,72.2,50.9,76.6,51.2,62.725,3,1.8,3,1.5,2.325,5,1
N,2014,218,3,60,20,20,0,12.5,7.5,2.5,10,8.125,22.1,14.8,24.5,11.2,18.15,2,1,4.1,2,2.275,5,31
N,2015,218,3,90,0,10,0,42.5,20,30,30,30.625,69,46,61.3,68,61.075,1.2,4.5,2,4.3,3,11,2
N,2014,222,3,80,0,20,0,2.5,0,2.5,2.5,1.875,0,0,14.2,5.9,5.025,1.6,2.3,1.5,2,1.85,3,3
N,2015,222,3,80,0,20,0,20,12.5,10,10,13.125,40.3,29.8,40,62,43.025,0.5,0.3,0.5,1.2,0.625,8,2
