Bird_Point,site,Point,Observer,PointNum,Time1,Date1,Wind1,Time2,Date2,Wind2,Time3,Date3,Wind3,Time4,Date4,Wind4,ForbAvg,ForbSD,GrassAvg,GrassSD,WoodyAvg,WoodySD,BareAvg,BareSD,WdyStemsAvg,WdyStemsSD,SpurgeStmAvg,SpurgeStmSD,LiveHtAvg,LiveHtSD,VORAvg,VORSD,LitterDptAvg,LitterDptSD,Trees,Shrubs,WoodyIndex,BoVisit1,BoVisit2,BoVisit3,BoVisit4,BoAvg,SaVisit1,SaVisit2,SaVisit3,SaVisit4,SaAvg,SeVisit1,SeVisit2,SeVisit3,SeVisit4,SeAvg,LcVisit1,LcVisit2,LcVisit3,LcVisit4,LcAvg,WeVisit1,WeVisit2,WeVisit3,WeVisit4,WeAvg,CcVisit1,CcVisit2,CcVisit3,CcVisit4,CcAvg,Burned,BurnArea,UTM_E,UTM_N
OAK73,OAK73,73,JSC,73,1.633333333,1,0,2.716666667,13,4,1.85,20,1,1.466666667,32,0,9,11.93733639,90,11.7260394,1,2.236067977,0,0,1.6,3.577708764,0,0,55.77,11.99523864,41.875,16.2078781,5.175,1.762101019,0,11,11,2,0,0,0,0,3,2,2,2,2,3,2,3,3,2.666666667,0,0,0,0,0,1,0,1,0,0.333333333,2,1,3,4,2.666666667,N,U,626082.41,5307504.877
OAK75,OAK75,75,JSC,75,1.966666667,1,0,2.55,13,3,1.566666667,20,0,1.783333333,32,0,19,12.94217911,77,14.40486029,4,8.94427191,0,0,4.8,10.73312629,0,0,40.205,6.507481272,25.5,5.717981506,3.32,1.575138883,1,11,12,1,1,1,0,0.666666667,2,2,2,2,2,2,2,3,3,2.666666667,0,0,0,0,0,0,1,0,0,0.333333333,2,2,2,3,2.333333333,N,U,626282.296,5307516.1
OAK77,OAK77,77,JSC,77,2.133333333,1,0,2.25,13,2,1.4,20,1,1.933333333,32,0,20,10,80,10,0,0,0,0,0,0,0,0,47.6,9.279766296,33.25,8.909264841,4.66,2.339778301,0,12,12,3,1,0,0,0.333333333,3,2,3,3,2.666666667,1,2,2,3,2.333333333,0,0,0,1,0.333333333,1,1,1,1,1,0,1,1,1,1,N,U,626482.551,5307524.371
OAK87,OAK87,87,JSC,87,2.85,1,0,1.583333333,13,1,0.7,20,2,2.616666667,32,0,14,10.83974169,86,10.83974169,0,0,0,0,0,0,0,0,44.9,7.388694912,29.125,7.242992303,6.4,2.195805661,11,6,17,1,0,0,0,0,0,2,1,2,1.666666667,3,3,3,2,2.666666667,1,0,0,0,0,2,0,0,0,0,2,0,0,2,0.666666667,N,U,625793.392,5307142.391
OAK89,OAK89,89,JSC,89,2.7,1,0,1.733333333,13,1,0.866666667,20,0,2.466666667,32,1,7,7.582875444,93,7.582875444,0,0,0,0,0,0,0,0,56.63,8.610865229,47.5,15.4805826,8.21,2.630803109,1,0,1,0,0,0,1,0.333333333,0,0,2,0,0.666666667,2,3,3,4,3.333333333,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.333333333,N,U,625992.738,5307157.909
OAK93,OAK93,93,JSC,93,2.483333333,1,0,1.916666667,13,1,1.05,20,1,2.266666667,32,1,8,7.582875444,92,7.582875444,0,0,0,0,0,0,0,0,57.865,10.16462309,49.75,11.06267655,4.485,4.931835358,0,0,0,0,0,0,0,0,1,3,2,2,2.333333333,2,2,4,3,3,0,1,2,1,1.333333333,0,0,1,0,0.333333333,0,0,0,0,0,N,U,626391.43,5307186.558
OAK95,OAK95,95,JSC,95,2.316666667,1,0,2.066666667,13,2,1.2,20,1,2.116666667,32,1,14,12.4498996,82,13.03840481,4,6.519202405,0,0,8,15.24795068,0,0,46.29,13.40128958,39.75,15.45911948,4.48,2.917693867,0,13,13,0,0,0,0,0,0,2,1,2,1.666666667,1,2,2,3,2.333333333,1,1,2,1,1.333333333,1,1,0,0,0.333333333,2,1,2,0,1,N,U,626591.97,5307199.688
OAK98,OAK98,98,JSC,98,3.083333333,1,1,1.383333333,13,1,0.5,20,1,2.833333333,32,0,9,4.183300133,85,5,6,6.519202405,0,0,12.4,15.04327092,0,0,50.775,13.42423182,38.125,21.73167331,5.63,2.533858224,13,25,38,0,0,0,0,0,2,1,3,4,2.666666667,0,2,1,2,1.666666667,0,0,1,0,0.333333333,1,1,0,0,0.333333333,0,1,2,2,1.666666667,N,U,625501.592,5306874.413
OAK108,OAK108,108,JSC,108,3.566666667,1,1,1.216666667,13,1,0.033333333,20,1,3.283333333,32,0,32,9.082951062,63,9.746794345,5,3.535533906,0,0,8.2,5.761944116,0,0,54.595,5.418008167,38.625,4.178628663,4.47,2.117147255,2,36,38,0,1,1,1,1,0,2,1,1,1.333333333,2,1,2,2,1.666666667,0,0,0,0,0,1,0,0,0,0,4,4,1,5,3.333333333,N,U,625308.442,5306661.22
OAK110,OAK110,110,JSC,110,3.416666667,1,0,1.066666667,13,1,0.183333333,20,1,3.133333333,32,1,8,4.472135955,92,4.472135955,0,0,0,0,0,0,0,0,35.94,4.258799714,20.875,6.91183315,5.965,0.460502443,4,0,4,1,0,2,0,0.666666667,1,3,1,3,2.333333333,1,1,2,2,1.666666667,1,0,0,1,0.333333333,0,0,0,0,0,0,1,1,2,1.333333333,N,U,625507.969,5306678.075
OAK112,OAK112,112,JSC,112,3.283333333,1,1,0.916666667,13,1,0.333333333,20,1,2.983333333,32,0,14,9.617692031,79,8.215838363,7,2.738612788,0,0,19.2,9.731392501,0,0,46.215,11.0811721,36.375,12.63520627,4.945,2.035727757,7,45,52,1,0,0,0,0,2,2,1,2,1.666666667,1,2,3,2,2.333333333,0,0,0,0,0,0,0,0,0,0,2,2,3,1,2,N,U,625707.951,5306688.097
OAK120,OAK120,120,JSC,120,1.816666667,2,2,0.683333333,13,1,1.3,22,0,1.3,33,0,32,7.582875444,68,7.582875444,0,0,0,0,0,0,0,0,40.91,11.77385345,28.25,10.19727292,5.03,2.589727302,1,0,1,2,1,0,1,0.666666667,4,4,5,4,4.333333333,2,2,3,3,2.666666667,0,1,1,0,0.666666667,0,0,0,1,0.333333333,0,0,0,0,0,N,U,626299.937,5306932.606
OAK130,OAK130,130,JSC,130,1.633333333,2,2,0.033333333,13,1,1.133333333,22,1,1.133333333,33,0,10,11.7260394,89,11.40175425,1,2.236067977,0,0,2.6,5.813776741,0,0,52.495,9.590724686,33.5,5.755432217,3.465,0.62963283,14,5,19,0,1,0,1,0.666666667,1,2,4,3,3,0,3,2,2,2.333333333,1,2,1,2,1.666666667,1,0,1,0,0.333333333,1,2,1,1,1.333333333,N,U,626107.39,5306718.464
OAK132,OAK132,132,JSC,132,1.983333333,2,3,0.183333333,13,1,1.433333333,22,0,1.45,33,0,47,19.87460691,53,19.87460691,0,0,1,2.236067977,0,0,0,0,42.205,6.629701162,27.875,12.88167303,2.59,1.691208887,4,0,4,2,1,1,0,0.666666667,2,4,4,4,4,0,2,1,2,1.666666667,0,0,1,1,0.666666667,0,1,1,0,0.666666667,2,1,2,2,1.666666667,N,U,626307.135,5306732.26
OAK134,OAK134,134,JSC,134,2.15,2,3,0.5,13,1,1.616666667,22,1,1.6,33,0,14,11.93733639,86,11.93733639,0,0,0,0,0,0,0,0,40.44,11.01898362,19.625,7.323442667,5.5,3.813995608,1,0,1,1,1,1,0,0.666666667,2,2,2,5,3,1,3,3,2,2.666666667,0,0,0,0,0,0,1,0,0,0.333333333,0,1,2,1,1.333333333,N,U,626505.681,5306746.656
OAK146,OAK146,146,JSC,146,2.316666667,2,3,0.35,13,1,1.783333333,22,1,1.733333333,33,0,5,3.535533906,95,3.535533906,0,0,0,0,0,0,0,0,61.88,6.093936536,48.5,11.11551562,5.48,3.71304289,3,0,3,1,0,0,0,0,1,3,3,2,2.666666667,1,3,1,2,2,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0.666666667,N,U,626511.679,5306547.511
OAK151,OAK151,151,JSC,151,-0.016666667,2,2,2.85,11,4,0.833333333,22,1,0.816666667,33,0,25,24.23839929,66,29.02585055,9,5.477225575,0,0,10,3,0,0,46.745,14.25959545,30.5,12.41691135,0.13,0.197958329,1,0,1,0,0,0,0,0,3,3,2,4,3,1,1,2,2,1.666666667,0,0,0,0,0,2,0,1,1,0.666666667,2,1,2,1,1.333333333,Y,F,625321.616,5306261.026
OAK160,OAK160,160,JSC,160,0.15,2,3,2.683333333,11,4,0.683333333,22,0,0.666666667,33,0,35,38.07886553,54,34.5325933,11,11.93733639,0,0,15.6,18.22909762,0,0,68.745,19.58699664,59.625,15.37042615,2.53,3.623077076,2,2,4,1,1,1,1,1,2,1,2,3,2,3,0,2,3,1.666666667,0,0,0,0,0,0,0,1,0,0.333333333,3,4,3,2,3,Y,F,625326.629,5306062.282
OAK164,OAK164,164,JSC,164,0.35,2,2,3.05,11,3,0.483333333,22,0,0.483333333,33,0,33,26.59887216,64,27.24885319,3,2.738612788,1,2.236067977,6.8,7.463243263,0,0,38.58,10.89569009,25.125,12.97834735,0.12,0.159491379,5,4,9,0,1,0,0,0.333333333,0,1,3,4,2.666666667,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0.333333333,4,3,4,4,3.666666667,Y,F,625724.998,5306091.757
OAK174,OAK174,174,JSC,174,0.516666667,2,2,2.516666667,11,3,0.316666667,22,0,0.3,33,0,13,10.36822068,82,10.36822068,5,5,0,0,4,4.949747468,0,0,52.13,17.69727557,35.75,17.88308384,2.95,2.602582852,2,0,2,0,2,0,0,0.666666667,4,3,3,4,3.333333333,2,0,3,1,1.333333333,0,0,0,0,0,0,0,1,0,0.333333333,2,2,3,2,2.333333333,Y,F,625531.308,5305875.328
OAK186,OAK186,186,JSC,186,0.683333333,2,1,2.2,11,3,0,22,0,0.15,33,0,61,19.81161276,30,15.8113883,9,6.519202405,0,0,7.6,5.029910536,7,15.65247584,50.565,12.20328593,38,7.253770571,0.195,0.229401395,47,16,63,0,0,0,0,0,0,1,1,2,1.333333333,0,0,1,0,0.333333333,0,0,0,0,0,0,0,0,0,0,2,2,3,2,2.333333333,Y,F,625537.202,5305674.058
OAK188,OAK188,188,JSC,188,0.85,2,1,2.35,11,3,0.15,22,0,0,33,0,11,6.519202405,77,7.582875444,12,4.472135955,0,0,13.8,6.220932406,0,0,59.72,16.92314798,47.875,14.19451919,0.205,0.335130572,5,20,25,0,1,0,0,0.333333333,2,2,2,1,1.666666667,0,0,2,0,0.666666667,1,0,0,0,0,0,0,1,0,0.333333333,4,2,3,4,3,Y,F,625737.63,5305690.01
OAK196,OAK196,196,JSC,196,1.383333333,2,2,3.25,11,4,2,22,1,1.983333333,33,0,21,8.215838363,69,8.94427191,10,6.123724357,0,0,19.2,8.642916175,0,0,47.15,5.490047814,40.125,11.53628786,4.18,2.123999765,6,40,46,0,0,0,1,0.333333333,0,1,2,2,1.666666667,3,1,2,1,1.333333333,0,1,0,0,0.333333333,0,0,0,0,0,4,4,3,4,3.666666667,N,U,626125.123,5306119.148
OAK206,OAK206,206,JSC,206,1.233333333,2,3,3.4,11,3,2.166666667,22,1,2.133333333,33,0,43,28.63564213,55,28.72281323,2,4.472135955,0,0,4,8.94427191,0,0,54.63,14.29870405,40.75,14.89153493,4.765,2.313587582,18,10,28,1,2,1,1,1.333333333,1,2,2,3,2.333333333,2,2,2,0,1.333333333,0,0,1,1,0.666666667,1,0,0,0,0,4,3,2,2,2.333333333,N,U,626131.653,5305918.927
OAK208,OAK208,208,JSC,208,2.566666667,2,2,3.55,11,3,2.483333333,22,2,2.283333333,33,1,33,24.39262184,67,24.39262184,0,0,0,0,0,0,0,0,55.34,14.13582108,43.25,7.320775232,2.985,1.442502166,5,1,6,2,0,0,2,0.666666667,2,2,2,2,2,1,1,2,2,1.666666667,0,1,1,0,0.666666667,0,1,1,0,0.666666667,1,2,2,2,2,N,U,626331.224,5305932.578
OAK218,OAK218,218,JSC,218,1.066666667,2,2,3.916666667,11,3,2.316666667,22,2,2.616666667,33,0,24,11.93733639,76,11.93733639,0,0,0,0,0,0,0,0,57.685,8.909205211,32.375,2.22731621,5.07,2.42914594,11,2,13,3,2,0,0,0.666666667,4,3,4,2,3,0,1,1,2,1.333333333,0,0,0,1,0.333333333,1,1,0,0,0.333333333,1,2,1,3,2,N,U,626136.854,5305719.356
OAK222,OAK222,222,JSC,222,2.733333333,2,2,3.733333333,11,3,2.65,22,2,2.45,33,0,33,17.88854382,67,17.88854382,0,0,0,0,0,0,0,0,44.555,13.28809853,24.25,8.033134507,2.395,1.276396294,8,2,10,1,1,0,0,0.333333333,2,1,4,4,3,0,0,1,0,0.333333333,1,1,0,0,0.333333333,1,0,1,1,0.666666667,1,1,2,1,1.333333333,N,U,626536.646,5305747.959
